rank,team,rank_change_since_previous,points,ranking_date
1,France,2,1877.32,2026-04-01
2,Spain,-1,1876.40,2026-04-01
3,Argentina,-1,1874.81,2026-04-01
4,England,0,1825.97,2026-04-01
5,Portugal,1,1763.83,2026-04-01
6,Brazil,-1,1761.16,2026-04-01
7,Netherlands,0,1757.87,2026-04-01
8,Morocco,0,1755.87,2026-04-01
9,Belgium,0,1734.71,2026-04-01
10,Germany,0,1730.37,2026-04-01
11,Croatia,0,1717.07,2026-04-01
12,Italy,1,1700.37,2026-04-01
13,Colombia,1,1693.09,2026-04-01
14,Senegal,-2,1688.99,2026-04-01
15,Mexico,1,1681.03,2026-04-01
16,USA,-1,1673.13,2026-04-01
17,Uruguay,0,1673.07,2026-04-01
18,Japan,1,1660.43,2026-04-01
19,Switzerland,-1,1649.40,2026-04-01
20,Denmark,1,1620.81,2026-04-01
21,IR Iran,-1,1615.30,2026-04-01
22,Türkiye,3,1599.04,2026-04-01
23,Ecuador,0,1594.78,2026-04-01
24,Austria,0,1593.45,2026-04-01
25,Korea Republic,-3,1588.66,2026-04-01
26,Nigeria,0,1585.09,2026-04-01
27,Australia,0,1580.67,2026-04-01
28,Algeria,0,1564.26,2026-04-01
29,Egypt,2,1563.24,2026-04-01
30,Canada,-1,1556.48,2026-04-01
31,Norway,1,1550.94,2026-04-01
32,Ukraine,-2,1546.88,2026-04-01
33,Panama,0,1540.64,2026-04-01
34,Côte d'Ivoire,3,1532.98,2026-04-01
35,Poland,-1,1528.00,2026-04-01
36,Russia,0,1525.60,2026-04-01
37,Wales,-2,1524.29,2026-04-01
38,Sweden,4,1514.77,2026-04-01
39,Serbia,0,1508.65,2026-04-01
40,Paraguay,0,1503.50,2026-04-01
41,Czechia,2,1501.38,2026-04-01
42,Hungary,-1,1500.58,2026-04-01
43,Scotland,-5,1498.35,2026-04-01
44,Tunisia,3,1483.05,2026-04-01
45,Cameroon,0,1481.24,2026-04-01
46,Congo DR,2,1478.35,2026-04-01
47,Greece,-1,1475.82,2026-04-01
48,Slovakia,-4,1473.94,2026-04-01
49,Venezuela,1,1468.05,2026-04-01
50,Uzbekistan,2,1465.34,2026-04-01
51,Costa Rica,0,1459.90,2026-04-01
52,Mali,2,1459.13,2026-04-01
53,Peru,0,1455.87,2026-04-01
54,Chile,1,1455.28,2026-04-01
55,Qatar,1,1454.96,2026-04-01
56,Romania,-7,1451.16,2026-04-01
57,Iraq,1,1447.14,2026-04-01
58,Slovenia,-1,1446.44,2026-04-01
59,Republic of Ireland,0,1436.63,2026-04-01
60,South Africa,0,1429.73,2026-04-01
61,Saudi Arabia,0,1421.43,2026-04-01
62,Burkina Faso,0,1412.49,2026-04-01
63,Jordan,1,1391.45,2026-04-01
64,Albania,-1,1388.06,2026-04-01
65,Bosnia and Herzegovina,6,1385.84,2026-04-01
66,Honduras,-1,1380.27,2026-04-01
67,North Macedonia,-1,1372.04,2026-04-01
68,United Arab Emirates,0,1370.47,2026-04-01
69,Cabo Verde,-2,1366.13,2026-04-01
70,Northern Ireland,-1,1362.16,2026-04-01
71,Jamaica,-1,1358.00,2026-04-01
72,Georgia,1,1350.18,2026-04-01
